IP,Status,Hostname,MAC Address,Vendor,OS,Open Ports,Services,Timestamp
172.16.41.100,up,,08:5A:11:28:FB:F0,Unknown,Linux 2.6.32 - 3.10,23 80 443,"telnet/D-Link 524, DIR-300, or WBR-1310 WAP telnetd http/(null) https/(null)",2024-04-27 14:07:23.862017
172.16.41.150,up,,40:9B:CD:0C:E6:90,D-Link International,Linux 2.6.17 - 2.6.36,23 80 443,"telnet/D-Link 524, DIR-300, or WBR-1310 WAP telnetd http/(null) https/(null)",2024-04-27 14:07:23.862017
172.16.41.180,up,,E4:6F:13:4A:5F:C0,D-Link International,Linux 2.6.17 - 2.6.36,22 80 443,ssh/OpenSSH http/(null) https/(null),2024-04-27 14:07:23.862017
172.16.41.20,up,,10:62:EB:A6:B4:70,D-Link International,Linux 2.6.17 - 2.6.36,23 80 443,"telnet/D-Link 524, DIR-300, or WBR-1310 WAP telnetd http/(null) https/(null)",2024-04-27 14:07:23.862017
172.16.41.200,up,,A8:E2:07:95:BC:C5,Unknown,Linux 2.4.21,80 443 9100,http/ https/ jetdirect/,2024-04-27 14:07:23.862017
172.16.41.50,up,,44:12:44:C8:1A:18,Unknown,ASUS RT-N56U WAP (Linux 3.4),22 80 443 4343 8080,ssh/Linksys WRT45G modified dropbear sshd http/mini_httpd http/mini_httpd http/mini_httpd http-proxy/tinyproxy,2024-04-27 14:07:23.862017
172.16.41.61,up,,58:11:22:80:4D:3B,Unknown,FreeBSD 6.2-RELEASE,5000,http/Node.js Express framework,2024-04-27 14:07:23.862017
172.16.41.80,up,spit.ac.in,,Unknown,Linux 2.6.32,21 22 23 80 3389 7070,ftp/vsftpd ssh/OpenSSH telnet/Linux telnetd http/Apache httpd ms-wbt-server/xrdp realserver/,2024-04-27 14:07:23.862017
172.16.41.96,up,,9C:A2:F4:A5:B4:9C,Unknown,Linux 2.6.32,21 80,ftp/vsftpd http/Apache httpd,2024-04-27 14:07:23.862017
172.16.40.102,up,,,Unknown,Apple Mac OS X 10.4.8 - 10.4.11 (Tiger) (Darwin 8.8.0 - 8.11.0),5000 7000,rtsp/AirTunes rtspd rtsp/AirTunes rtspd,2024-04-27 12:56:37.648417
172.16.40.108,up,,,Unknown,Linux 2.6.32,902,vmware-auth/VMware Authentication Daemon,2024-04-27 12:56:37.648417
172.16.40.126,up,,,Unknown,FreeBSD 6.2-RELEASE,80 443 3306,http/Apache httpd http/Apache httpd mysql/,2024-04-27 12:56:37.648417
172.16.40.128,up,,,Unknown,Microsoft Windows 10 1703,135 7070 8090,msrpc/Microsoft Windows RPC realserver/ tcpwrapped/,2024-04-27 12:56:37.648417
172.16.40.131,up,,,Unknown,Apple iOS 11.0,5000 7000 49152,rtsp/AirTunes rtspd rtsp/AirTunes rtspd bandwidth-test/MikroTik bandwidth-test server,2024-04-27 12:56:37.648417
172.16.40.60,up,,,Unknown,Apple TV 5,5000 7000,rtsp/AirTunes rtspd rtsp/AirTunes rtspd,2024-04-27 12:56:37.648417
172.16.40.78,up,,,Unknown,Apple iOS 11.0,3306 5000 7000,mysql/ rtsp/AirTunes rtspd rtsp/AirTunes rtspd,2024-04-27 12:56:37.648417
172.16.40.82,up,,,Unknown,FreeBSD 6.2-RELEASE,80 443 3306,http/Apache httpd http/Apache httpd mysql/MariaDB,2024-04-27 12:56:37.648417
172.16.41.100,up,,08:5A:11:28:FB:F0,Unknown,Linux 2.6.32 - 3.10,23 80 443,"telnet/D-Link 524, DIR-300, or WBR-1310 WAP telnetd http/(null) https/(null)",2024-04-27 12:41:47.496890
172.16.41.150,up,,40:9B:CD:0C:E6:90,D-Link International,Linux 2.6.17 - 2.6.36,23 80 443,"telnet/D-Link 524, DIR-300, or WBR-1310 WAP telnetd http/(null) https/(null)",2024-04-27 12:41:47.496890
172.16.41.180,up,,E4:6F:13:4A:5F:C0,D-Link International,Linux 2.6.17 - 2.6.36,22 80 443,ssh/OpenSSH http/(null) https/(null),2024-04-27 12:41:47.496890
172.16.41.20,up,,10:62:EB:A6:B4:70,D-Link International,Linux 2.6.17 - 2.6.36,23 80 443,"telnet/D-Link 524, DIR-300, or WBR-1310 WAP telnetd http/(null) https/(null)",2024-04-27 12:41:47.496890
172.16.41.200,up,,A8:E2:07:95:BC:C5,Unknown,Linux 2.4.21,80 443 9100,http/ https/ jetdirect/,2024-04-27 12:41:47.496890
172.16.41.50,up,,44:12:44:C8:1A:18,Unknown,ASUS RT-N56U WAP (Linux 3.4),22 80 443 4343 8080,ssh/Linksys WRT45G modified dropbear sshd http/mini_httpd http/mini_httpd http/mini_httpd http-proxy/tinyproxy,2024-04-27 12:41:47.496890
172.16.41.61,up,,58:11:22:80:4D:3B,Unknown,FreeBSD 6.2-RELEASE,5000,http/Node.js Express framework,2024-04-27 12:41:47.496890
172.16.41.80,up,spit.ac.in,,Unknown,Linux 2.6.32,21 22 23 80 3389 7070,ftp/vsftpd ssh/OpenSSH telnet/Linux telnetd http/Apache httpd ms-wbt-server/xrdp realserver/,2024-04-27 12:41:47.496890
172.16.41.96,up,,9C:A2:F4:A5:B4:9C,Unknown,Linux 2.6.32,21 80,ftp/vsftpd http/Apache httpd,2024-04-27 12:41:47.496890
